STT	type	tên gi?ng loài	tu?i th? trung bình	cân n?ng trung bình	chi?u cao trung bình	chi?u dài trung bình	cách ch?m	giá có gi?y t?	giá không gi?y t?	giá qu?c t?	score_energy	score_space	score_grooming	score_kid_friendly	score_size	size_index
0	Dog	chihuahua	11 n?m - 20 n?m	1.5 – 3 kg	15 – 23 cm	24 – 38 cm	"Chihuahua có th? tr?ng nh? bé và khá nh?y c?m, vì v?y vi?c ch?m sóc c?n s? c?n th?n. V? ch? ?? ?n u?ng, chúng d? b? h? ???ng huy?t nên c?n ???c chia kh?u ph?n thành nhi?u b?a nh? trong ngày thay vì cho ?n quá nhi?u vào m?t b?a. Th?c ?n nên giàu ??m, ít béo và có th? b? sung rau c? qu? m?m ?? h? tr? tiêu hóa. Do kích th??c nh?, Chihuahua không c?n v?n ??ng nhi?u nh? các gi?ng chó l?n; ch? c?n ???c d?t ?i d?o kho?ng 15–30 phút m?i ngày và ch?i trong nhà c?ng ?? giúp chúng duy trì th? l?c.  
  
V? s?c kh?e, ?ây là gi?ng chó d? g?p v?n ?? v? r?ng mi?ng, do ?ó c?n v? sinh r?ng th??ng xuyên ?? tránh viêm n??u ho?c r?ng r?ng s?m. Chúng c?ng khá nh?y c?m v?i th?i ti?t l?nh, nên c?n m?c áo gi? ?m khi tr?i tr? l?nh ho?c khi ?i ra ngoài vào mùa ?ông. Ngoài ra, vì x??ng kh?p c?a Chihuahua y?u và d? b? tr?t x??ng bánh chè hay viêm khí qu?n, b?n nên tránh ?? chó nh?y t? ch? cao xu?ng hay v?n ??ng quá m?nh.  
  
Tính cách c?a Chihuahua r?t thông minh, trung thành nh?ng l?i hay s?a n?u không ???c hu?n luy?n t? nh?. Vi?c xã h?i hóa s?m là c?n thi?t ?? giúp chúng hòa ??ng h?n, tránh c?n ng??i l? ho?c xung ??t v?i các v?t nuôi khác. N?u ???c nuôi d?y ?úng cách, Chihuahua s? tr? thành m?t ng??i b?n ??ng hành tuy?t v?i, thân thi?t và giàu tình c?m."	10 – 20 tri?u VN?	3 – 6 tri?u VN?	500 – 2000 USD	2	1	3	2	small	0.310351602
1	Dog	japanese_spaniel	10 n?m - 14 n?m	1.8 – 6.8 kg	20 – 28 cm	28 – 36 cm	"Japanese Spaniel là gi?ng chó nh?, thanh l?ch, th??ng ???c ví nh? “quý t?c cung ?ình Nh?t B?n”. Vì có kích th??c nh? và tính cách tr?m t?nh, chúng phù h?p s?ng trong c?n h? ho?c nhà ph?. V? ch? ?? ?n u?ng, c?n cho ?n kh?u ph?n cân b?ng v?i protein t? th?t gà, cá ho?c c?u, k?t h?p rau c? và m?t ít tinh b?t. Do h? tiêu hóa nh?y c?m, vi?c cho ?n c?n ??u ??n, tránh th?c ?n d?u m? ho?c gia v? m?nh.  
  
Gi?ng chó này có b? lông dài, m??t và khá dày nên c?n ???c ch?i chu?t th??ng xuyên, ít nh?t 2–3 l?n/tu?n ?? tránh r?i lông. Khi th?i ti?t nóng, b?n nên chú ý gi? mát cho chúng vì d? b? s?c nhi?t, còn khi tr?i l?nh có th? c?n thêm áo gi? ?m. Chúng không ?òi h?i v?n ??ng m?nh; ch? c?n ???c d?t ?i d?o ng?n ho?c ch?i nh? trong nhà m?i ngày là ?? ?? duy trì th? tr?ng và tinh th?n.  
  
V? s?c kh?e, Japanese Spaniel d? g?p v?n ?? v? m?t (l?i, khô m?t, viêm giác m?c), ???ng hô h?p (do m?t ng?n) và r?ng mi?ng. Vì v?y c?n v? sinh r?ng ??nh k? và ??a ?i ki?m tra thú y ??u ??n. ?ây c?ng là gi?ng chó nh?y c?m v? c?m xúc, th??ng g?n bó và qu?n ch?, nên c?n ???c quan tâm và tránh ?? chúng cô ??n quá lâu. N?u ???c nuôi d??ng ?úng cách, Japanese Spaniel s? là m?t chú chó nh? thanh l?ch, tình c?m và r?t trung thành."	20 – 40 tri?u VN?	10 – 20 tri?u VN?	1500 – 3000 USD (nh?ng con có gia ph? ??p có th? t?i 5000 USD)	2	2	4	3	small	0.388770452
2	Dog	maltese_dog	12 n?m - 15 n?m 	2.5 – 3.2 kg	20 – 25 cm	25 – 30 cm	"Maltese là gi?ng chó nh? nh?n, quý phái v?i b? lông tr?ng mu?t dài th??t tha, vì v?y vi?c ch?m sóc lông là ?u tiên hàng ??u. B? lông c?n ???c ch?i chu?t h?ng ngày ?? tránh r?i và t?m th??ng xuyên b?ng s?a t?m chuyên d?ng cho chó lông tr?ng ?? gi? màu sáng ??p. Nhi?u ng??i c?t t?a ng?n ?? d? ch?m sóc và v? sinh. ??c bi?t, lông quanh m?t d? b? ? vàng nên c?n lau s?ch b?ng kh?n ?m ho?c dung d?ch chuyên d?ng.  
  
V? ch? ?? ?n u?ng, Maltese c?n ???c cung c?p th?c ?n giàu protein t? th?t gà, cá h?i ho?c c?u k?t h?p v?i rau c?. Do kích th??c nh?, chúng d? b? th?a cân n?u cho ?n quá nhi?u, nên c?n ki?m soát kh?u ph?n và chia thành 2–3 b?a nh? m?i ngày. Maltese khá hi?u ??ng và thông minh, vì v?y c?n ???c d?t ?i d?o ho?c cho ch?i trong nhà h?ng ngày ?? gi?i phóng n?ng l??ng và duy trì tinh th?n vui v?.  
  
V? s?c kh?e, Maltese d? m?c b?nh r?ng mi?ng do hàm nh?, nên c?n ?ánh r?ng ??nh k? và cho nhai ?? g?m s?ch r?ng. Ngoài ra, chúng c?ng nh?y c?m v?i ???ng hô h?p và có th? g?p v?n ?? v? kh?p x??ng nh? tr?t x??ng bánh chè. ?ây là gi?ng chó r?t thân thi?n, thông minh và qu?n ch?, thích ???c ? g?n ng??i, nên không phù h?p ?? ? m?t mình quá lâu vì có th? b? lo âu chia ly. N?u ???c nuôi d??ng và ch?m sóc ?úng cách, Maltese s? là m?t chú chó nh? xinh x?n, s?ch s? và c?c k? tình c?m."	20 – 40 tri?u VN?	8 – 15 tri?u VN?	1500 – 4000 USD (cá th? có dòng dõi ??p có th? lên t?i 5000 USD)	3	1	1	2	small	0.329793989
3	Dog	pekinese	12 n?m - 15 n?m 	3.2 – 6.4 kg	15 – 23 cm	25 – 33 cm	"Pekingese là gi?ng chó nh? có b? lông dài, dày và g??ng m?t d?t ??c tr?ng. Chính vì v?y, vi?c ch?m sóc lông là ?i?u quan tr?ng hàng ??u. Lông c?n ???c ch?i chu?t h?ng ngày ?? tránh r?i và r?ng nhi?u, ??ng th?i nên t?m ??u ??n b?ng s?a t?m chuyên d?ng ?? gi? lông s?ch và bóng m??t. Do có nhi?u n?p nh?n quanh m?t, b?n c?n th??ng xuyên lau s?ch ?? tránh viêm da ho?c nhi?m khu?n.  
  
V? ch? ?? ?n u?ng, Pekingese d? b? béo phì do tính cách ít v?n ??ng, vì v?y c?n cho ?n kh?u ph?n h?p lý, nhi?u protein t? th?t n?c (gà, cá, bò), k?t h?p v?i rau c? qu?. Nên chia thành 2–3 b?a/ngày và h?n ch? th?c ?n nhi?u tinh b?t ho?c d?u m?. Gi?ng chó này không c?n v?n ??ng m?nh, nh?ng v?n nên ???c d?t ?i d?o nh? nhàng 20–30 phút m?i ngày ?? duy trì s?c kh?e và tránh th?a cân.  
  
V? s?c kh?e, do c?u t?o m?t ng?n (brachycephalic), Pekingese d? b? khó th?, ??c bi?t trong môi tr??ng nóng ?m, nên c?n gi? mát và tránh cho ra ngoài khi tr?i quá nóng. Chúng c?ng d? g?p b?nh v? m?t (khô m?t, viêm giác m?c) và c?t s?ng (do thân dài). Ngoài ra, gi?ng chó này r?t g?n bó v?i ch?, thông minh nh?ng có chút b??ng b?nh, vì v?y c?n hu?n luy?n kiên nh?n và xã h?i hóa t? s?m ?? s?ng hòa thu?n v?i tr? em và thú c?ng khác.  
  
N?u ???c nuôi d??ng và ch?m sóc chu ?áo, Pekingese s? tr? thành m?t ng??i b?n nh? trung thành, ?i?m t?nh và giàu tình c?m, ?úng nh? hình ?nh ""chó quý t?c cung ?ình"" trong l?ch s? Trung Hoa."	15 – 30 tri?u VN?	7 – 12 tri?u VN?	1500 – 3000 USD (cá th? có huy?t th?ng cao c?p có th? ??t 5000 USD)	1	3	4	1	small	0.351957878
4	Dog	shih_tzu	10 n?m - 16 n?m 	4 – 8 kg	20 – 27 cm	28 – 34 cm	"Shih Tzu n?i b?t v?i b? lông dài, m??t và g??ng m?t tròn d? th??ng. B? lông c?a chúng c?n ???c ch?m sóc k? l??ng: ch?i chu?t h?ng ngày ?? tránh r?i, t?m th??ng xuyên và có th? c?t t?a ng?n ?? d? v? sinh và tho?i mái h?n trong khí h?u nóng ?m nh? Vi?t Nam. Lông quanh m?t nên ???c lau s?ch th??ng xuyên vì d? b? ? vàng và gây viêm nhi?m n?u không ???c ch?m sóc k?.  
  
V? ch? ?? ?n u?ng, Shih Tzu có th? tr?ng nh?, không c?n ?n quá nhi?u nh?ng c?n kh?u ph?n giàu protein (th?t gà, cá h?i, c?u) k?t h?p v?i rau c? qu?. Nên chia thành 2–3 b?a/ngày, h?n ch? th?c ?n d?u m? và ?? ?n c?a ng??i. Do d? béo phì, c?n ki?m soát l??ng th?c ?n và t?ng c??ng v?n ??ng h?p lý.  
  
Shih Tzu không ?òi h?i v?n ??ng m?nh, ch? c?n d?t ?i d?o 20–30 phút/ngày ho?c cho ch?i trong nhà là ??. Tuy nhiên, vì c?u t?o m?t ng?n (brachycephalic), chúng d? b? khó th? trong môi tr??ng nóng, nên tránh cho ra ngoài khi tr?i quá oi b?c. Ngoài ra, gi?ng chó này d? m?c b?nh r?ng mi?ng và m?t, do ?ó c?n v? sinh r?ng ??nh k? và ki?m tra m?t th??ng xuyên.  
  
Tính cách Shih Tzu r?t thân thi?n, hi?n lành và tình c?m, phù h?p v?i gia ?ình có tr? nh? ho?c ng??i l?n tu?i. Chúng ít s?a h?n Chihuahua hay Pekingese, khá d? hu?n luy?n và thích ? g?n ch?. N?u ???c ch?m sóc t?t, Shih Tzu s? là m?t ng??i b?n nh? trung thành, hi?n hòa và r?t g?n bó v?i gia ?ình."	15 – 30 tri?u VN?	6 – 12 tri?u VN?	1000 – 2500 USD (cá th? có gia ph? xu?t s?c có th? ??t 5000 USD)	2	1	4	2	small	0.414681952
5	Dog	blenheim_spaniel	9 n?m - 14 n?m 	5.9 – 8.2 kg	30 – 33 cm	45 – 53 cm	"Cavalier King Charles Spaniel, ??c bi?t v?i màu Blenheim, n?i b?t b?i v? ngoài sang tr?ng, ?ôi m?t to tròn và tính cách hi?n hòa. B? lông dài, m??t và h?i g?n sóng c?n ???c ch?i 2–3 l?n m?i tu?n ?? tránh r?i, ??ng th?i nên t?m ??nh k? ?? gi? lông s?ch và bóng. Lông quanh tai và chân có xu h??ng d? r?i và b?n, nên chú ý v? sinh k?.  
  
V? ch? ?? ?n u?ng, gi?ng chó này c?n kh?u ph?n giàu protein t? th?t gà, cá, th?t bò k?t h?p v?i rau c? ?? cân b?ng dinh d??ng. Do có xu h??ng d? béo phì, c?n ki?m soát l??ng th?c ?n, tránh cho ?n quá nhi?u ?? ?n v?t ho?c th?c ?n c?a ng??i. Nên chia kh?u ph?n thành 2–3 b?a/ngày và k?t h?p cùng vi?c v?n ??ng h?ng ngày.  
  
Gi?ng chó này khá n?ng ??ng nh?ng không ?òi h?i v?n ??ng m?nh nh? các gi?ng chó s?n khác. D?t ?i d?o kho?ng 30 phút/ngày ho?c ch?i ?ùa trong sân v??n là ?? ?? giúp chúng duy trì th? l?c và tinh th?n. Tuy nhiên, Cavalier King Charles Spaniel có th? g?p m?t s? v?n ?? s?c kh?e di truy?n, ??c bi?t là b?nh tim (h?p van hai lá), b?nh m?t và tr?t x??ng bánh chè. Vì v?y, vi?c ki?m tra thú y ??nh k? là r?t quan tr?ng.  
  
V? tính cách, Blenheim Spaniel hi?n lành, thân thi?n và c?c k? tình c?m. Chúng thích ? g?n ng??i, hòa ??ng v?i tr? nh? và v?t nuôi khác, phù h?p làm chó ??ng hành trong gia ?ình. Tuy nhiên, chúng không thích b? b? l?i m?t mình quá lâu vì d? lo âu chia ly. N?u ???c nuôi d??ng và quan tâm ?úng cách, Blenheim Spaniel s? là m?t chú chó nh? trung thành, thân thi?n và ??y yêu th??ng."	25 – 40 tri?u VN?	12 – 20 tri?u VN?	2000 – 4000 USD (cá th? có gia ph? n?i b?t có th? trên 5000 USD)	1	3	4	2	small	0.569635264
6	Dog	papillon	12 n?m - 16 n?m 	3 – 5 kg	20 – 28 cm	28 – 36 cm	"Papillon có ngo?i hình thanh thoát, ??c tr?ng v?i ?ôi tai d?ng to và xòe ra nh? cánh b??m. ?ây là gi?ng chó nh? nh?ng n?ng ??ng, thông minh và r?t thích v?n ??ng. Vì v?y, c?n cho Papillon tham gia các ho?t ??ng th??ng xuyên nh? ?i d?o, ch?i ?? ch?i t??ng tác ho?c tham gia hu?n luy?n agility. Chúng c?n ít nh?t 30 phút v?n ??ng m?i ngày ?? tránh bu?n chán và phá phách.  
  
B? lông Papillon m??t, dài v?a ph?i và không có l?p lông lót dày, nên vi?c ch?m sóc lông khá d? dàng. Ch? c?n ch?i 2–3 l?n/tu?n ?? gi? lông suôn m??t và h?n ch? r?i, không c?n t?m quá th??ng xuyên, kho?ng 3–4 tu?n/l?n là ??. Lông ? tai và ?uôi th??ng dài và ??p, nên ???c gi? s?ch ?? tránh b?n và h? t?n.  
  
V? ch? ?? ?n, Papillon c?n th?c ?n giàu ??m, ít béo, k?t h?p rau c? qu? ?? h? tr? tiêu hóa. Do kích th??c nh?, kh?u ph?n ?n không c?n quá nhi?u nh?ng ph?i ??m b?o ch?t l??ng. Nên chia thành 2–3 b?a nh?/ngày, tránh th?c ?n d?u m? ho?c nhi?u tinh b?t vì d? d?n t?i béo phì.  
  
Papillon có s?c kh?e khá t?t nh?ng c?ng có m?t s? nguy c? nh? tr?t x??ng bánh chè, v?n ?? v? r?ng mi?ng (hàm nh? d? tích t? cao r?ng) và b?nh tim b?m sinh. C?n v? sinh r?ng ??nh k?, h?n ch? ?? chúng nh?y t? ch? cao xu?ng và ??a ?i khám thú y th??ng xuyên. V? tính cách, Papillon r?t thông minh, d? hu?n luy?n và ham h?c h?i, thích h?p v?i ng??i m?i nuôi nh?ng c?ng c?n ch? n?ng ??ng. ?ây là m?t gi?ng chó nh? duyên dáng, thông minh và trung thành, luôn s?n sàng tr? thành b?n ??ng hành vui v? cho gia ?ình."	18 – 35 tri?u VN?	8 – 15 tri?u VN?	1500 – 3500 USD (cá th? có gia ph? ??p có th? lên t?i 5000 USD)	3	3	3	3	small	0.382817754
7	Dog	toy_terrier	12 n?m - 15 n?m 	2.7 – 3.6 kg	25 – 30 cm	35 – 42 cm	"Toy Terrier có kích th??c nh? bé, c? th? s?n ch?c và tính cách ho?t bát. Do vóc dáng nh?, chúng không c?n v?n ??ng quá nhi?u, nh?ng v?n r?t hi?u ??ng và thích ch?i ?ùa. M?i ngày, nên cho chúng ?i d?o ng?n 20–30 phút ho?c ch?i v?i ?? ch?i trong nhà ?? gi?i phóng n?ng l??ng. Gi?ng chó này thông minh và nhanh nh?n, vì v?y c?ng d? hu?n luy?n c? b?n n?u kiên nh?n và nh?t quán.  
  
B? lông c?a Toy Terrier th??ng ng?n, m??t nên r?t d? ch?m sóc, ch? c?n ch?i 1–2 l?n/tu?n và t?m kho?ng 3–4 tu?n/l?n. Do c? th? nh? và ít m?, chúng khá nh?y c?m v?i th?i ti?t l?nh, vì v?y c?n gi? ?m b?ng áo khi ra ngoài tr?i l?nh.  
  
V? ch? ?? ?n, Toy Terrier có d? dày nh?, nên c?n chia thành nhi?u b?a nh? (2–3 b?a/ngày) v?i kh?u ph?n giàu protein, ít béo. C?n tránh th?c ?n quá nhi?u d?u m? ho?c gia v?, c?ng nh? ?? ?n c?a ng??i. Ngoài ra, vì gi?ng chó này d? m?c b?nh r?ng mi?ng, c?n v? sinh r?ng th??ng xuyên ho?c cho nhai ?? g?m làm s?ch r?ng.  
  
V? s?c kh?e, Toy Terrier nhìn chung kh?e m?nh, nh?ng có th? g?p m?t s? v?n ?? nh? tr?t x??ng bánh chè, b?nh v? m?t, và h? ???ng huy?t (gi?ng nh? Chihuahua). ?ây là gi?ng chó tình c?m, g?n bó v?i ch?, nh?ng có th? h?i nh?y c?m và c?nh giác v?i ng??i l?, nên c?n xã h?i hóa t? nh?. N?u ???c nuôi d??ng t?t, Toy Terrier s? là m?t chú chó nh? trung thành, thông minh và c?c k? n?ng ??ng."	15 – 30 tri?u VN?	6 – 12 tri?u VN?	1000 – 2500 USD (nh?ng cá th? có gia ph? t?t có th? ??t 4000 USD)	5	1	1	4	small	0.418447025
8	Dog	rhodesian_ridgeback	10 n?m - 12 n?m 	32 – 37 kg	61 – 69 cm	85 – 95 cm	"Rhodesian Ridgeback là gi?ng chó s?n d?ng mãnh, kh?e m?nh và thông minh, v?n n?i ti?ng ? châu Phi v?i kh? n?ng ??i ??u c? s? t?. Vì v?y, chúng c?n m?t ch? ?? v?n ??ng c??ng ?? cao h?ng ngày. Ch? nuôi ph?i cho Ridgeback ch?y b?, kéo t? nh?, ho?c tham gia các trò ch?i v?n ??ng m?nh ít nh?t 1 – 2 gi? m?i ngày. N?u nuôi trong môi tr??ng ch?t h?p và ít v?n ??ng, chúng d? tr? nên b?n ch?n và phá phách.  
  
V? ch? ?? ?n u?ng, Ridgeback c?n kh?u ph?n giàu ??m và n?ng l??ng t? th?t bò, gà, cá, tr?ng, k?t h?p rau c? và ng? c?c ?? ??m b?o s?c b?n. Không nên cho ?n quá nhi?u tinh b?t ho?c th?c ?n nhi?u d?u m? vì d? gây béo phì. Gi?ng chó này khá kh?e m?nh, ít b?nh di truy?n, nh?ng có th? g?p các v?n ?? v? kh?p (lo?n s?n x??ng hông, khu?u) ho?c b?nh da, vì v?y c?n ki?m tra ??nh k?.  
  
Ridgeback là gi?ng chó trung thành, nh?ng c?ng ??c l?p và có ph?n b??ng b?nh. Vi?c hu?n luy?n c?n kiên nh?n, áp d?ng các ph??ng pháp d?t khoát nh?ng không b?o l?c. Chúng b?o v? gia ?ình r?t t?t, th??ng có tính c?nh giác cao, nh?ng c?n ???c xã h?i hóa t? nh? ?? không tr? nên quá hung d?. Ridgeback phù h?p v?i ng??i nuôi có kinh nghi?m và không ph?i là l?a ch?n lý t??ng cho ng??i m?i b?t ??u nuôi chó."	25 – 40 tri?u VN?	15 – 25 tri?u VN?	2500 – 5000 USD	5	3	3	5	large	1.521385846
9	Dog	afghan_hound	12 n?m - 14 n?m 	20 – 27 kg	61 – 74 cm	85 – 95 cm	"Afghan Hound là gi?ng chó quý t?c ??n t? Trung Á, n?i b?t v?i b? lông dài, m??t mà và dáng v? thanh thoát. Chúng c?n ???c ch?m sóc lông h?ng ngày b?ng vi?c ch?i chu?t ?? tránh r?i và r?ng lông quá nhi?u. Ngoài ra, c? kho?ng 1–2 tu?n b?n nên t?m cho chúng b?ng d?u g?i chuyên d?ng cho chó lông dài, sau ?ó s?y khô k? càng ?? gi? b? lông óng ?. ?ây là công vi?c t?n nhi?u th?i gian nên ng??i nuôi c?n kiên nh?n và có ?i?u ki?n ch?m sóc.  
  
V? ch? ?? ?n, Afghan Hound c?n ngu?n dinh d??ng cân ??i, ??c bi?t là protein t? th?t gà, bò, cá ?? duy trì c? b?p và n?ng l??ng, k?t h?p rau c? qu? ?? h? tr? tiêu hóa. Do có d? dày khá nh?y c?m, b?n nên chia kh?u ph?n ?n thành nhi?u b?a nh? trong ngày, h?n ch? cho ?n th?c ?n nhi?u d?u m? ho?c gia v?.  
  
Afghan Hound là gi?ng chó s?n nhanh nh?n, vì v?y chúng c?n nhi?u v?n ??ng. B?n nên cho chúng ch?y b?, ch?i kéo co ho?c tham gia các ho?t ??ng ngoài tr?i ít nh?t 1–2 gi? m?i ngày. N?u b? nh?t trong nhà quá lâu, chúng d? tr? nên bu?n chán ho?c stress.  
  
V? tính cách, Afghan Hound ??c l?p, ?ôi khi khá “kiêu k?” và khó hu?n luy?n so v?i các gi?ng chó khác. Tuy nhiên, chúng c?ng r?t trung thành và tình c?m v?i ch? nhân. Vi?c hu?n luy?n c?n kiên nh?n, nh? nhàng nh?ng kiên ??nh, và nên b?t ??u t? khi còn nh? ?? t?o thói quen t?t. V?i ngo?i hình sang tr?ng và tính cách ??c ?áo, Afghan Hound th??ng ???c xem nh? m?t gi?ng chó “ngh? s?” dành cho nh?ng ng??i nuôi yêu cái ??p và có nhi?u th?i gian ch?m sóc."	30 – 50 tri?u VN?	20 – 30 tri?u VN?	3000 – 6000 USD	3	1	4	1	large	1.319743408
