STT,type,tên giống loài,tuổi thọ trung bình,cân nặng trung bình,chiều cao trung bình,chiều dài trung bình,cách chăm,giá có giấy tờ,giá không giấy tờ,giá quốc tế,score_energy,score_space,score_grooming,score_kid_friendly,score_size,size_index
94,Dog,french_bulldog,10 năm – 12 năm,8 – 14 kg,28 – 33 cm,35 – 45 cm,"French Bulldog là giống chó cảnh nổi tiếng có nguồn gốc từ Pháp, sở hữu thân hình nhỏ gọn, cơ bắp chắc khỏe, đầu to tròn, mõm ngắn và đôi tai dựng hình “tai dơi” đặc trưng. Ngoại hình đáng yêu kết hợp với tính cách thân thiện đã khiến chúng trở thành một trong những giống chó cảnh phổ biến nhất thế giới.  
  
French Bulldog có tính cách vui vẻ, hiền lành, tình cảm và rất gắn bó với chủ nhân. Chúng ít sủa, thích hợp sống ở căn hộ hoặc nhà phố. Tuy nhiên, giống chó này khá nhạy cảm và có xu hướng phụ thuộc nhiều vào chủ, không thích bị bỏ ở nhà một mình quá lâu.  
  
Do vóc dáng nhỏ và không quá hiếu động, French Bulldog chỉ cần những buổi đi dạo ngắn hoặc chơi trong nhà là đủ. Tránh cho chúng vận động quá sức, đặc biệt trong thời tiết nóng, vì giống chó mặt ngắn này dễ gặp khó khăn trong hô hấp.  
  
Bộ lông ngắn, mượt, ít rụng nên việc chăm sóc khá đơn giản – chỉ cần chải 1 lần/tuần để giữ sạch và bóng mượt. Tuy nhiên, cần đặc biệt chú ý vệ sinh nếp nhăn trên mặt để tránh tích tụ bụi bẩn và vi khuẩn. Vệ sinh tai, răng, cắt móng định kỳ cũng rất quan trọng.  
  
Chế độ ăn của French Bulldog cần cân đối, với protein từ thịt nạc, cá, trứng kết hợp rau củ và tinh bột nguyên hạt. Do dễ tăng cân, cần kiểm soát khẩu phần ăn và tránh cho ăn quá nhiều đồ ăn vặt hoặc thức ăn nhiều dầu mỡ.  
  
Về sức khỏe, French Bulldog thường gặp các vấn đề liên quan đến đường hô hấp (do cấu trúc mũi ngắn), dị ứng da, bệnh cột sống và béo phì. Khám thú y định kỳ, kiểm soát cân nặng và giữ môi trường sống mát mẻ sẽ giúp chúng khỏe mạnh và hạnh phúc bên gia đình.",25 – 45 triệu VNĐ,12 – 20 triệu VNĐ,2.500 – 4.000 USD,2,2,3,5,small,0.6009007652094506
95,Dog,great_dane,8 năm – 10 năm,45 – 90 kg,71 – 86 cm,95 – 115 cm,"Great Dane là giống chó khổng lồ có nguồn gốc từ Đức, nổi tiếng với chiều cao vượt trội – được mệnh danh là “Apollo trong thế giới loài chó”. Chúng có thân hình cao lớn, ngực rộng, cơ bắp săn chắc nhưng dáng đi lại thanh thoát và oai vệ.  
  
Tính cách của Great Dane điềm tĩnh, hiền lành, tình cảm và rất trung thành. Mặc dù ngoại hình to lớn có thể khiến người khác e dè, nhưng chúng thường dịu dàng, thân thiện và được coi là “người khổng lồ hiền lành”. Chúng rất gắn bó với gia đình, đặc biệt yêu quý trẻ em, đồng thời cũng là chó canh gác đáng tin cậy.  
  
Giống chó này cần không gian rộng rãi để sinh hoạt, thích hợp với nhà có sân vườn. Mặc dù vóc dáng to lớn, Great Dane không quá hiếu động, chỉ cần những buổi đi dạo dài và vận động vừa phải để giữ sức khỏe. Tuy nhiên, do kích thước cơ thể lớn, chúng không nên vận động quá sức khi còn nhỏ để tránh ảnh hưởng đến sự phát triển xương khớp.  
  
Bộ lông ngắn, mượt của Great Dane dễ chăm sóc – chỉ cần chải 1 lần/tuần để loại bỏ lông rụng. Tắm định kỳ, vệ sinh răng, tai và cắt móng thường xuyên sẽ giúp duy trì sức khỏe. Do dễ chảy dãi, chủ nuôi cần thường xuyên lau miệng cho chúng.  
  
Chế độ dinh dưỡng của Great Dane cần giàu protein và canxi để hỗ trợ xương và cơ bắp, kết hợp với rau củ và tinh bột nguyên hạt. Nên chia nhỏ bữa ăn trong ngày để tránh nguy cơ xoắn dạ dày, vốn là bệnh thường gặp ở các giống chó khổng lồ.  
  
Về sức khỏe, Great Dane có tuổi thọ ngắn so với nhiều giống chó khác. Chúng dễ gặp các vấn đề như loạn sản xương hông, bệnh tim, xoắn dạ dày và một số bệnh di truyền. Việc khám thú y định kỳ, chế độ dinh dưỡng hợp lý và chăm sóc khoa học sẽ giúp chúng sống khỏe mạnh và vui vẻ.",35 – 60 triệu VNĐ,15 – 25 triệu VNĐ,2.000 – 4.000 USD,2,5,1,5,large,2.333384831919933
96,Dog,saint_bernard,8 năm – 10 năm,54 – 90 kg,65 – 90 cm,100 – 120 cm,"Saint Bernard là giống chó khổng lồ có nguồn gốc từ dãy Alps (Thụy Sĩ – Ý), nổi tiếng với vai trò chó cứu hộ trong tuyết lở. Chúng có thân hình to lớn, cơ bắp chắc khỏe, bộ lông dày (ngắn hoặc dài), màu nâu trắng pha loang đặc trưng và khuôn mặt hiền hậu.  
  
Tính cách của Saint Bernard điềm tĩnh, hiền lành, trung thành và rất thân thiện. Chúng đặc biệt dịu dàng với trẻ em, thường được mệnh danh là “người khổng lồ nhân hậu”. Tuy nhiên, do kích thước to lớn, chúng cần được huấn luyện từ nhỏ để kiểm soát hành vi, tránh vô tình làm tổn thương người xung quanh.  
  
Giống chó này cần không gian rộng để sinh hoạt, thích hợp với gia đình có sân vườn hoặc ở vùng nông thôn. Chúng không quá hiếu động, chỉ cần đi dạo hàng ngày và một số trò chơi vận động vừa phải. Do chịu nóng kém, Saint Bernard cần được nuôi trong môi trường mát mẻ, tránh vận động mạnh dưới thời tiết oi bức.  
  
Bộ lông dày của Saint Bernard cần được chải 2 – 3 lần/tuần, vào mùa rụng lông cần chải thường xuyên hơn để tránh rối. Vệ sinh tai, răng, mắt và cắt móng định kỳ cũng rất quan trọng. Do dễ chảy dãi, chủ nuôi cũng cần lau miệng cho chúng thường xuyên.  
  
Chế độ dinh dưỡng phải giàu protein, canxi và vitamin để hỗ trợ sự phát triển xương và cơ bắp. Nên chia khẩu phần ăn thành nhiều bữa nhỏ để hạn chế nguy cơ xoắn dạ dày, vốn khá phổ biến ở các giống chó khổng lồ.  
  
Về sức khỏe, Saint Bernard dễ gặp các vấn đề như loạn sản xương hông, bệnh tim, xoắn dạ dày và các bệnh về mắt. Việc khám thú y định kỳ, chế độ ăn khoa học và vận động hợp lý sẽ giúp chúng khỏe mạnh, sống thọ và tiếp tục là “người bạn hiền lành khổng lồ” trong gia đình.",40 – 70 triệu VNĐ,18 – 30 triệu VNĐ,2.500 – 4.500 USD,2,5,4,5,large,2.438505166225718
97,Dog,eskimo_dog,10 năm – 15 năm,9 – 16 kg,38 – 48 cm,50 – 60 cm,"Chó Eskimo Canada là một trong những giống chó kéo xe cổ xưa nhất ở Bắc Mỹ, gắn liền với đời sống của người Inuit. Chúng có thân hình cường tráng, sức bền dẻo dai, được mệnh danh là “cỗ máy kéo tuyết” tự nhiên. Bộ lông dày hai lớp (ngoài dài, trong lót mềm) giúp chúng chịu lạnh cực tốt, với màu sắc thường gặp: trắng, đen – trắng, xám, đỏ hoặc vàng kem.  
  
Tính cách của Canadian Eskimo Dog mạnh mẽ, độc lập, trung thành và dũng cảm. Chúng rất tận tụy với chủ, nhưng do bản năng làm việc cao, đôi khi có xu hướng cứng đầu và không phù hợp cho người mới nuôi chó lần đầu. Cần huấn luyện từ sớm để kiểm soát bản năng săn mồi và tăng khả năng hòa nhập xã hội.  
  
Giống chó này cần vận động nhiều: chạy đường dài, kéo vật nặng hoặc chơi các trò thể thao ngoài trời. Nếu bị nuôi nhốt trong không gian chật hẹp, chúng dễ sinh ra căng thẳng và phá phách. Vì vậy, Eskimo Dog thích hợp với người có kinh nghiệm, sống ở nơi khí hậu mát lạnh và có không gian rộng rãi.  
  
Bộ lông của chúng cần được chải 2 – 3 lần/tuần, thường xuyên hơn vào mùa rụng lông. Do quen với thời tiết lạnh, chúng dễ bị sốc nhiệt khi nuôi ở vùng khí hậu nóng, nên cần giữ mát và tránh để ngoài trời nắng gắt.  
  
Về dinh dưỡng, chúng cần chế độ ăn giàu protein và chất béo để cung cấp năng lượng cho cơ bắp và hoạt động thể lực. Các bệnh thường gặp ở giống chó này gồm loạn sản xương hông, viêm khớp, bệnh về mắt và dạ dày.  
  
Do số lượng nuôi hiện nay khá hiếm, Canadian Eskimo Dog được coi là giống chó quý, nằm trong danh sách bảo tồn.",30 – 50 triệu VNĐ,15 – 25 triệu VNĐ,2.500 – 5.000 USD,5,5,4,3,small,0.7812172808548473
98,Dog,malamute,10 năm – 14 năm,34 – 45 kg,58 – 64 cm,85 – 100 cm,"Alaskan Malamute là một trong những giống chó kéo xe lâu đời nhất trên thế giới, được người Eskimo dùng để kéo xe nặng trên tuyết và săn bắn. Chúng có thân hình to lớn, cơ bắp khỏe mạnh, bền bỉ, nổi bật với bộ lông dày hai lớp màu xám – trắng, đen – trắng, hoặc đỏ – trắng, cùng chiếc đuôi cong phủ lông dày.  
  
Malamute thông minh, trung thành và tình cảm, đặc biệt gắn bó với gia đình, nhưng cũng khá độc lập và đôi khi bướng bỉnh. Đây là giống chó năng động, thích phiêu lưu, rất thân thiện với người nhưng không phù hợp làm chó canh gác vì ít sủa và quá hiền với người lạ.  
  
Do có nguồn gốc từ vùng băng tuyết, Malamute cần vận động nhiều mỗi ngày như chạy bộ, đi dạo đường dài, kéo xe hoặc chơi các trò thể thao ngoài trời. Nếu thiếu vận động, chúng dễ tăng cân, buồn chán và phá phách.  
  
Bộ lông dày cần chải ít nhất 2 – 3 lần/tuần, và chải hàng ngày vào mùa rụng lông. Tắm không cần quá thường xuyên, nhưng vệ sinh răng, tai và cắt móng cần được duy trì đều đặn. Ở vùng khí hậu nóng, cần tránh để Malamute tiếp xúc lâu ngoài nắng vì dễ bị sốc nhiệt.  
  
Chế độ dinh dưỡng nên giàu protein, chất béo và khoáng chất, có thể bổ sung thịt nạc, cá hồi, trứng và rau củ. Tránh thức ăn nhiều dầu mỡ hoặc tinh bột kém chất lượng.  
  
Một số vấn đề sức khỏe thường gặp ở giống chó này gồm loạn sản xương hông, các bệnh về mắt (đục thủy tinh thể, teo võng mạc) và béo phì nếu ít vận động.  
  
Malamute là giống chó tuyệt vời cho những gia đình năng động, có không gian rộng và yêu thích các hoạt động ngoài trời.",20 – 40 triệu VNĐ,10 – 18 triệu VNĐ,2.000 – 4.500 USD,5,5,4,4,large,1.6052400234973168
99,Dog,siberian_husky,12 năm – 15 năm,16 – 27 kg,50 – 60 cm,70 – 85 cm,"Siberian Husky là giống chó kéo xe tuyết có nguồn gốc từ Siberia (Nga), nổi tiếng với ngoại hình đẹp mắt: thân hình cân đối, cơ bắp săn chắc, bộ lông dày hai lớp (trắng – đen, trắng – xám, nâu – trắng…), đôi tai tam giác dựng đứng và đôi mắt xanh băng hoặc hai màu (mắt bi).  
  
Husky thông minh, giàu năng lượng, tính cách thân thiện, hòa đồng, rất quấn người nhưng lại không giỏi canh gác vì thường thân thiện cả với người lạ. Chúng đôi khi bướng bỉnh, nghịch ngợm và thích ""đào bới"", vì vậy cần huấn luyện kiên nhẫn và nhất quán.  
  
Giống chó này cần vận động mạnh hàng ngày: chạy bộ, đi dạo dài, chơi trò kéo xe, hoặc các hoạt động thể lực ngoài trời. Nếu không được vận động đủ, Husky dễ sinh ra phá phách, cắn đồ đạc trong nhà.  
  
Bộ lông dày của Husky cần chải 2 – 3 lần/tuần, và hằng ngày trong mùa thay lông để giảm rụng. Tắm định kỳ (1 – 2 tháng/lần), vệ sinh tai, răng và cắt móng là cần thiết. Do xuất xứ vùng lạnh, Husky không chịu nóng tốt, nên cần sống ở nơi thoáng mát, tránh nắng gắt.  
  
Chế độ dinh dưỡng cần giàu protein, chất béo tốt và vitamin. Nên bổ sung thịt nạc, cá, trứng, rau củ, hạn chế tinh bột rẻ tiền và đồ ăn nhiều dầu mỡ.  
  
Một số vấn đề sức khỏe Husky có thể gặp: loạn sản hông, đục thủy tinh thể, teo võng mạc và dị ứng da. Khám thú y định kỳ sẽ giúp kiểm soát tốt sức khỏe lâu dài.  
  
Siberian Husky phù hợp với người yêu thích vận động, có thời gian chăm sóc và huấn luyện, đặc biệt là môi trường có khí hậu mát mẻ.",15 – 30 triệu VNĐ,6 – 12 triệu VNĐ,1.500 – 3.500 USD,5,4,4,4,medium,1.1407452932080036
100,Dog,affenpinscher,12 năm – 15 năm,3 – 6 kg,23 – 30 cm,30 – 35 cm,"Affenpinscher là giống chó cảnh cổ xưa có nguồn gốc từ Đức, ban đầu được nuôi để bắt chuột trong nhà bếp và chuồng ngựa. Tên gọi của chúng xuất phát từ tiếng Đức “Affen” nghĩa là khỉ, bởi khuôn mặt có biểu cảm tinh nghịch giống loài khỉ.  
  
Affenpinscher có kích thước nhỏ (cao 23 – 30 cm, nặng 3 – 6 kg), bộ lông xù ngắn, thô ráp, thường có màu đen tuyền, đôi khi xám hoặc bạc. Ngoại hình của chúng đáng yêu nhưng cũng toát lên vẻ tinh nghịch.  
  
Về tính cách, giống chó này thông minh, dũng cảm, lanh lợi và rất trung thành với chủ. Chúng thường hiếu động, thích chơi đùa, tò mò và hơi “bướng bỉnh” nhưng dễ huấn luyện nếu áp dụng phương pháp tích cực. Do tính cảnh giác cao, chúng cũng có thể làm chó báo động tốt.  
  
Affenpinscher cần được vận động nhẹ nhàng hàng ngày như đi bộ ngắn, chơi đồ chơi hoặc chạy nhảy trong sân vườn. Không đòi hỏi vận động quá nhiều, phù hợp với môi trường căn hộ.  
  
Bộ lông cần chải 2 – 3 lần/tuần để tránh rối và giữ sạch. Nên tỉa lông định kỳ để giữ dáng gọn gàng. Vệ sinh răng, tai và cắt móng đều đặn giúp phòng bệnh.  
  
Chế độ dinh dưỡng: ưu tiên thức ăn giàu protein chất lượng cao (thịt gà, bò, cá), kết hợp rau củ quả và ngũ cốc nguyên hạt. Tránh đồ ngọt và thức ăn dầu mỡ.  
  
Về sức khỏe, Affenpinscher thường khỏe mạnh nhưng có thể gặp các bệnh về răng miệng, trật xương bánh chè, bệnh về mắt hoặc các vấn đề hô hấp do kích thước nhỏ. Khám thú y định kỳ và chăm sóc dinh dưỡng hợp lý sẽ giúp chúng sống khỏe mạnh, vui vẻ.",35 – 60 triệu VNĐ,20 – 30 triệu VNĐ,2.000 – 4.000 USD,3,5,3,3,small,0.4116099590720666
101,Dog,basenji,12 năm – 14 năm,9 – 11 kg,40 – 43 cm,55 – 65 cm,"Basenji là giống chó săn cổ xưa có nguồn gốc từ Trung Phi (Congo), nổi bật với đặc điểm không sủa như các loài chó khác mà thay vào đó phát ra âm thanh đặc biệt gọi là yodel (tiếng hú – ngân rung). Ngoại hình gọn gàng, nhỏ nhắn, cao 40 – 43 cm, nặng 9 – 12 kg, có đôi tai dựng, mắt hạnh nhân sắc sảo và chiếc đuôi xoắn tròn đặc trưng.  
  
Tính cách: Basenji thông minh, độc lập, tò mò và cảnh giác cao. Chúng thân thiện với gia đình, tình cảm với chủ nhưng thường dè dặt với người lạ. Bướng bỉnh và khó huấn luyện hơn nhiều giống chó khác, nên cần người chủ kiên nhẫn, nhất quán và kinh nghiệm.  
  
Giống chó này rất năng động, cần nhiều vận động hàng ngày như chạy bộ, đi dạo dài, chơi các trò săn mồi giả lập. Nếu không được giải phóng năng lượng, Basenji dễ phá phách hoặc tìm cách thoát ra ngoài.  
  
Bộ lông ngắn, mịn và gần như không có mùi nên việc chăm sóc khá đơn giản. Chỉ cần chải 1 lần/tuần để loại bỏ lông chết. Giống này vốn sạch sẽ, thường tự liếm lông như mèo. Tuy nhiên, vẫn cần vệ sinh tai, răng và cắt móng định kỳ.  
  
Chế độ dinh dưỡng: nên cho ăn thức ăn giàu protein và năng lượng (thịt nạc, cá, gan, rau củ, ngũ cốc nguyên hạt). Hạn chế tinh bột kém chất lượng và đồ ăn nhiều dầu mỡ.  
  
Về sức khỏe, Basenji có thể mắc một số bệnh di truyền như hội chứng Fanconi (thận), loạn sản hông, bệnh về mắt (teo võng mạc). Khám thú y định kỳ và xét nghiệm di truyền từ khi chọn giống là rất quan trọng.  
  
Basenji phù hợp với người năng động, kiên nhẫn trong huấn luyện và có không gian cho chó chạy nhảy.",40 – 70 triệu VNĐ,20 – 30 triệu VNĐ,1.800 – 4.000 USD,5,4,1,3,small,0.7441167184750572
102,Dog,pug,12 năm – 15 năm,6 – 8 kg,25 – 30 cm,30 – 35 cm,"Pug là giống chó cảnh nổi tiếng có nguồn gốc từ Trung Quốc, với ngoại hình nhỏ nhắn (cao 25 – 30 cm, nặng 6 – 8 kg), mặt ngắn, mũi tẹt và những nếp nhăn đặc trưng. Đôi mắt to, tròn cùng dáng đi vui nhộn khiến chúng trở thành một trong những giống chó được yêu thích nhất thế giới.  
  
Tính cách: Pug hiền lành, thân thiện, quấn quýt chủ và đặc biệt rất tình cảm. Chúng thích hợp với môi trường gia đình, hòa đồng với trẻ em và các vật nuôi khác. Tuy nhiên, đôi khi Pug hơi “lười biếng” và tham ăn, dễ bị béo phì nếu không kiểm soát chế độ ăn.  
  
Giống chó này không cần vận động quá nhiều, chỉ cần đi dạo ngắn hoặc chơi nhẹ nhàng mỗi ngày. Tuy nhiên, cần tránh cho vận động mạnh dưới trời nóng vì Pug dễ bị sốc nhiệt do đường hô hấp ngắn.  
  
Bộ lông ngắn, mượt, dễ chăm sóc. Chỉ cần chải 1 – 2 lần/tuần để loại bỏ lông rụng. Do có nhiều nếp nhăn trên mặt, cần vệ sinh sạch sẽ vùng này thường xuyên để tránh viêm nhiễm. Ngoài ra, vệ sinh răng miệng, tai và cắt móng cũng rất quan trọng.  
  
Chế độ dinh dưỡng: nên cho ăn khẩu phần cân đối, giàu protein và chất xơ, hạn chế tinh bột và chất béo. Không nên cho ăn quá nhiều đồ ăn vặt vì Pug rất dễ tăng cân.  
  
Về sức khỏe, Pug có thể gặp một số vấn đề di truyền: khó thở do đường hô hấp ngắn, viêm da ở các nếp nhăn, bệnh về mắt (lồi mắt, loét giác mạc), và béo phì. Khám thú y định kỳ, kiểm soát cân nặng và giữ vệ sinh tốt sẽ giúp chúng sống khỏe mạnh.  
  
Pug phù hợp với người sống ở thành phố, căn hộ nhỏ, yêu thích sự gắn bó và dễ chăm sóc.",12 – 20 triệu VNĐ,6 – 10 triệu VNĐ,1.200 – 3.000 USD,2,2,3,5,small,0.4678650219976488
103,Dog,leonberg,8 năm – 10 năm,45 – 77 kg,65 – 80 cm,95 – 115 cm,"Leonberger là giống chó khổng lồ có nguồn gốc từ Đức (thành phố Leonberg), ban đầu được lai tạo từ Newfoundland, Saint Bernard và Great Pyrenees để tạo ra một chú chó vừa có ngoại hình oai vệ như sư tử, vừa mạnh mẽ để kéo xe, trông coi, vừa hiền lành làm bạn đồng hành.  
  
Ngoại hình: cao 65 – 80 cm, nặng 45 – 75 kg; bộ lông dày, dài, màu vàng sư tử pha nâu – đen; mặt có “mặt nạ” tối; dáng to khỏe, cân đối, cực kỳ ấn tượng.  
  
Tính cách: Leonberger hiền lành, thông minh, trung thành, cực kỳ thân thiện và yêu trẻ em. Chúng thường được gọi là “người khổng lồ hiền hậu”, vừa có khả năng bảo vệ gia đình vừa là người bạn đồng hành lý tưởng. Tuy nhiên, do kích thước khổng lồ, chúng cần người chủ có kinh nghiệm.  
  
Leonberger cần vận động nhiều hàng ngày: đi dạo dài, chạy nhảy, bơi lội, kéo xe… để duy trì thể lực và tránh béo phì. Nếu nuôi trong thành phố, cần có sân vườn rộng rãi cho chúng sinh hoạt.  
  
Bộ lông dày dài cần chải 2 – 3 lần/tuần, và chải hàng ngày vào mùa rụng lông để tránh rối, rụng nhiều. Tắm định kỳ, vệ sinh tai, mắt, răng và cắt móng là cần thiết để giữ vệ sinh.  
  
Chế độ dinh dưỡng: khẩu phần ăn phải cân đối, giàu protein, canxi và vitamin, với lượng thức ăn lớn để đáp ứng nhu cầu của một giống chó khổng lồ. Nên chia thành nhiều bữa nhỏ để tránh xoắn dạ dày – bệnh nguy hiểm thường gặp ở chó to.  
  
Về sức khỏe, Leonberger dễ mắc bệnh loạn sản hông, loạn sản khuỷu, bệnh tim, xoắn dạ dày và ung thư xương. Khám thú y định kỳ, kiểm soát cân nặng và chế độ vận động hợp lý sẽ giúp kéo dài tuổi thọ.  
  
Leonberger phù hợp với gia đình rộng rãi, có sân vườn, nhiều thời gian chăm sóc và yêu thích chó khổng lồ hiền lành.",50 – 80 triệu VNĐ,25 – 40 triệu VNĐ,2.000 – 4.500 USD,4,5,4,5,large,2.1645142116522944
